   1.0000000e+01	   1.8890472e-43	
   1.0023060e+01	   1.8549792e-43	
   1.0046173e+01	   1.8215288e-43	
   1.0069340e+01	   1.7886847e-43	
   1.0092560e+01	   1.7564358e-43	
   1.0115833e+01	   1.7247712e-43	
   1.0139161e+01	   1.6936802e-43	
   1.0162542e+01	   1.6631523e-43	
   1.0185976e+01	   1.6331771e-43	
   1.0209465e+01	   1.6037447e-43	
   1.0233008e+01	   1.5748449e-43	
   1.0256606e+01	   1.5464682e-43	
   1.0280258e+01	   1.5186048e-43	
   1.0303964e+01	   1.4912454e-43	
   1.0327725e+01	   1.4643808e-43	
   1.0351541e+01	   1.4380019e-43	
   1.0375412e+01	   1.4120998e-43	
   1.0399337e+01	   1.3866658e-43	
   1.0423318e+01	   1.3616914e-43	
   1.0447355e+01	   1.3371685e-43	
   1.0471446e+01	   1.3130894e-43	
   1.0495594e+01	   1.2894463e-43	
   1.0519796e+01	   1.2662316e-43	
   1.0544055e+01	   1.2434380e-43	
   1.0568370e+01	   1.2210580e-43	
   1.0592741e+01	   1.1990847e-43	
   1.0617168e+01	   1.1775107e-43	
   1.0641651e+01	   1.1563289e-43	
   1.0666191e+01	   1.1355319e-43	
   1.0690787e+01	   1.1151125e-43	
   1.0715440e+01	   1.0950636e-43	
   1.0740150e+01	   1.0753783e-43	
   1.0764917e+01	   1.0560498e-43	
   1.0789741e+01	   1.0370714e-43	
   1.0814622e+01	   1.0184366e-43	
   1.0839560e+01	   1.0001389e-43	
   1.0864557e+01	   9.8217209e-44	
   1.0889610e+01	   9.6453005e-44	
   1.0914722e+01	   9.4720673e-44	
   1.0939891e+01	   9.3019622e-44	
   1.0965119e+01	   9.1349272e-44	
   1.0990404e+01	   8.9709053e-44	
   1.1015748e+01	   8.8098409e-44	
   1.1041151e+01	   8.6516815e-44	
   1.1066612e+01	   8.4963774e-44	
   1.1092131e+01	   8.3438799e-44	
   1.1117710e+01	   8.1941408e-44	
   1.1143347e+01	   8.0471129e-44	
   1.1169044e+01	   7.9027497e-44	
   1.1194800e+01	   7.7610057e-44	
   1.1220615e+01	   7.6218363e-44	
   1.1246490e+01	   7.4852010e-44	
   1.1272425e+01	   7.3510616e-44	
   1.1298419e+01	   7.2193801e-44	
   1.1324473e+01	   7.0901192e-44	
   1.1350587e+01	   6.9632423e-44	
   1.1376762e+01	   6.8387130e-44	
   1.1402997e+01	   6.7164960e-44	
   1.1429292e+01	   6.5965525e-44	
   1.1455648e+01	   6.4788342e-44	
   1.1482065e+01	   6.3632921e-44	
   1.1508543e+01	   6.2498782e-44	
   1.1535082e+01	   6.1385454e-44	
   1.1561682e+01	   6.0292476e-44	
   1.1588343e+01	   5.9219397e-44	
   1.1615066e+01	   5.8165776e-44	
   1.1641850e+01	   5.7131224e-44	
   1.1668696e+01	   5.6115397e-44	
   1.1695605e+01	   5.5117956e-44	
   1.1722575e+01	   5.4138571e-44	
   1.1749607e+01	   5.3176915e-44	
   1.1776702e+01	   5.2232671e-44	
   1.1803859e+01	   5.1305523e-44	
   1.1831079e+01	   5.0395154e-44	
   1.1858361e+01	   4.9501231e-44	
   1.1885707e+01	   4.8623419e-44	
   1.1913115e+01	   4.7761392e-44	
   1.1940587e+01	   4.6914830e-44	
   1.1968122e+01	   4.6083417e-44	
   1.1995721e+01	   4.5266846e-44	
   1.2023383e+01	   4.4464820e-44	
   1.2051109e+01	   4.3677094e-44	
   1.2078899e+01	   4.2903448e-44	
   1.2106753e+01	   4.2143661e-44	
   1.2134671e+01	   4.1397521e-44	
   1.2162654e+01	   4.0664816e-44	
   1.2190701e+01	   3.9945339e-44	
   1.2218813e+01	   3.9238886e-44	
   1.2246989e+01	   3.8545248e-44	
   1.2275231e+01	   3.7864210e-44	
   1.2303538e+01	   3.7195566e-44	
   1.2331910e+01	   3.6539109e-44	
